,Foreigner,Hill Brahman,Hill Chhetree,Hill Dalit,Madhesi Brahman/Chhetree,Madhesi Dalit,Madhesi Other - OC A,Madhesi Other - OC B,Mtn/Hill Janajati A,Mtn/Hill Janajati B,Musalman,Newar,Other (MPB),Other undefined,Tarai Janajati,Total Pop Census,Poverty Gap,Poverty Incidence,Poverty Severity,Adult illiteracy rate,Deprivation in economic provisioning,HPI,People not expected to survive age 40,Children <5 years malnourished,Without safe water,BCG3,DPT-HepB 1 3,DPT-HepB 2 3,DPT-HepB 3 3,Japenese Encephalitis 3,Measles 12-23 3,Measles 9-11 months 3,Polio13,Polio23,Polio33,TT 1 3,TT 2+ 3,TT23,Sanitation Coverage (%,Water Coverage Supply (%),HDI ,Sex Ratio (male per 100 female),Confirmed Meningitis 3,HIV/AIDS3,Leprosy3,STD/STI3,Acute Flacid Paralysis,Chicken pox,Diptheria,Hepatatis-B,Measles,Mumps,Neonatal Tetanus,Rubella,Tetanus,Tuberculosis,Whooping cough,Alcoholism,Anxiety (Neurosis,"Conversive disorder(Hysteria)",Depression,Epilesy,Mental retardation,Psychosis,Vacc_Access
Mugu,0,0.052219368,0.654795066,0.136182759,0,0,0.002532287,0.00032558,0.001483196,0.08825019,0,0.002622725,0,0.060557827,0.001031002,55286,0.125,0.471,0.047,60.75,37.44,45.22,0.0941,0.502,0.2468,0.025015375,0.024635532,0.020800926,0.020493434,0,0.008266107,0.019408168,0.02383967,0.019589046,0.019371993,0.012950837,0.001935391,0.008067142,24.38,81.26,0.397,103,0,0,0,0.000922476,0,5.43E-05,0,0,0.000180878,0.00016279,0,0,0,0,0,1.81E-05,0,0,0.000108527,9.04E-05,0,1.81E-05,-0.256355136
Mustang,0,0.036723164,0.081400535,0.130240856,0,0,0,0,0.510110021,0.214391912,0,0.009812667,0,0.012488849,0.004831995,13452,0.109,0.4,0.042,38.65,31.51,31.16,0.1202,0.547,0.0832,0.016205769,0.018064228,0.017246506,0.018287244,0,7.43E-05,0.019104966,0.018064228,0.017246506,0.018287244,0.005575379,0.006690455,0.011745465,0,0,0.508,112,0,0,0,0.005203687,7.43E-05,0.00185846,0,7.43E-05,0,0.003270889,0,0,0,0,0,0.000371692,0.001040737,0.000148677,0.000594707,0.00044603,0.00044603,0,-1.325649638
Myagdi,0,0.080446318,0.194533663,0.245140398,0.000105596,0.000175993,0.002023917,0,0.449740851,0.002807085,0.001583935,0.013762638,0,0.002983078,0.006696527,113641,0.073,0.286,0.027,34.84,30.03,28.54,0.0727,0.475,0.1256,0.021462324,0.023644635,0.023424644,0.02377663,0,0.000131995,0.022412686,0.023671034,0.023424644,0.02377663,0.009046031,0.011316338,0.009688405,0,0,0.49,83,1.76E-05,2.64E-05,4.40E-05,0.000369585,0,0.001654333,0,0.000149594,7.04E-05,0.003590254,0,6.16E-05,8.80E-06,0.000624775,3.52E-05,0.000272789,0.001531138,0.000114395,0.000668773,0.000175993,8.80E-05,0.000175993,0.066357419
Nawalparasi,0.000116549,0.174914686,0.081795409,0.067273445,0.003372141,0.062078482,0.102668498,0.039917142,0.207147386,0.03776643,0.037555089,0.019454304,0.000689968,0.013180877,0.152069594,643508,0.038,0.17,0.013,36.25,26.01,27.99,0.0809,0.389,0.1311,0.020683504,0.021525762,0.021124835,0.021064229,0.016846721,0.000133642,0.021469819,0.021525762,0.021280233,0.021064229,0.010030955,0.007087713,0.01187864,47.57,83.95,0.493,89,6.22E-06,1.40E-05,0.00013675,7.61E-05,7.77E-06,0.000323228,0,1.40E-05,2.33E-05,0.001042722,3.11E-06,2.18E-05,3.11E-06,0.001754446,3.11E-06,8.24E-05,0.000419575,0.000111887,0.000212896,9.01E-05,1.55E-05,7.15E-05,0.064660633
Nuwakot,0,0.189439617,0.135347478,0.067217835,0.000115327,5.05E-05,0.002778669,0.000151367,0.076476461,0.446399804,0.001290225,0.074440212,6.49E-05,0.005643833,0.000583845,277471,0.042,0.203,0.013,49.41,24.71,35.66,0.0677,0.371,0.1232,0.018780341,0.020272389,0.020095794,0.020153457,0,0.000472121,0.017623463,0.020239953,0.020088586,0.020160665,0.006497976,0.008617117,0.006566452,31.15,77.92,0.466,92,1.80E-05,0.000212635,5.77E-05,0.00107759,2.16E-05,0.000436082,1.08E-05,3.60E-05,0.000324358,0.00137672,3.60E-06,1.80E-05,2.16E-05,0.000227051,0.000518973,0.000504557,0.00035319,0.000133347,0.000472121,0.000129743,3.24E-05,5.05E-05,-0.958400383
Okhaldhunga,0,0.106038491,0.235816034,0.103321981,0,0.000236512,0.007683263,0.003378744,0.335448427,0.134724024,0.000175695,0.065439507,0.00013515,0.002817872,0.004784301,147984,0.041,0.205,0.012,43.86,37,35.6,0.0717,0.567,0.1729,0.020921181,0.020225159,0.019975132,0.019461563,0,0.000554114,0.018589848,0.020285977,0.020015677,0.017697859,0.006548005,0.007953563,0.008771219,52.2,82.4,0.468,87,6.76E-06,0,8.11E-05,0.00018921,0.000155422,0.000952806,0,6.76E-06,0.00016218,0.004074765,1.35E-05,6.76E-05,6.76E-06,0.000979836,4.73E-05,0.000310844,0.00376392,6.76E-06,0.006007406,0.003074657,6.76E-06,0.002588118,-0.917900415
Palpa,0.000191439,0.174622865,0.095095337,0.120173826,8.42E-05,0.000229727,0.001520025,4.59E-05,0.532781989,0.030289456,0.004709396,0.034577686,4.21E-05,0.003587564,0.002048396,261180,0.052,0.216,0.018,29.18,28.42,25.23,0.0725,0.359,0.2093,0.024393139,0.021027644,0.020797917,0.02103913,0.011061337,0.000202925,0.02010108,0.021027644,0.020797917,0.02103913,0.002082855,0.016314419,0.001960334,0,0,0.5,80,0.001160119,0.000612604,0.000134007,0.000685351,2.30E-05,0.001056742,0,0.000222069,0.000202925,0.001397504,0,4.21E-05,0.000149322,0.004747684,7.66E-06,0.001699977,0.018523624,0.001435791,0.008143809,0.004621334,0.001929704,0.001462593,-0.327907404
Panchthar,0,0.107362747,0.103729075,0.060807958,0.000161612,0.000265878,0.001970628,0.000166826,0.620753114,0.084080139,0.000286732,0.014300088,0.000344078,0.004097656,0.00167347,191817,0.019,0.114,0.005,33.09,42.63,33.66,0.0916,0.569,0.2835,0.024575507,0.024679773,0.024653706,0.024512947,0,0.000390998,0.023736165,0.024638066,0.024601573,0.024450388,0.010108593,0.014774499,0.010410965,62.9,68.12,0.498,89,5.21E-06,0,1.04E-05,0.00055261,0,0.000589103,0,4.17E-05,5.21E-05,0.002564945,5.21E-06,0,0,0.000125119,5.73E-05,0.000224172,0.000140759,1.04E-05,0.000151186,6.78E-05,5.21E-06,3.13E-05,0.51232072
Parbat,0,0.357254929,0.212258681,0.234490757,0,0.000109148,0.000948223,0,0.155085613,0.008677263,0.004236305,0.023828365,0,0.001548537,0.00156218,146590,0.025,0.127,0.008,32.43,21.84,24.62,0.0611,0.262,0.1747,0.019810355,0.021474862,0.021365714,0.021631762,0,0.000211474,0.021495327,0.021474862,0.021290675,0.021631762,0.003451804,0.013507061,0.008561293,75.35,88.03,0.51,80,0,3.41E-05,7.50E-05,0.000225118,6.82E-06,0.000880005,0,6.82E-06,0.0001569,0.001957842,0,8.19E-05,0,0.000497988,3.41E-05,0.000347909,0.002019237,6.82E-05,0.000341087,6.82E-05,7.50E-05,6.14E-05,-0.495980688
Parsa,0.000134772,0.026350336,0.038280115,0.005710321,0.026327042,0.120806899,0.380964266,0.076162571,0.015894725,0.025247206,0.145107376,0.016508684,0.011873208,0.012911448,0.09772103,601017,0.071,0.292,0.025,51.31,20.91,36.37,0.053,0.372,0.0462,0.019225746,0,0,0.019430399,0.013856513,0,0.017746586,0,0,0.019393794,0,0.010329159,0.004459108,25.49,80.17,0.464,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.084661642
Pyuthan,7.89E-05,0.098587474,0.294030741,0.215986708,0.000214816,0,0.00019728,0.000254272,0.347099105,0.017281742,0.002691778,0.016812654,7.89E-05,0.001012705,0.005672901,228102,0.079,0.322,0.028,41.99,34.64,33.93,0.1161,0.484,0.2087,0.029613945,0.02912732,0.028978264,0.028631928,0,5.26E-05,0.028890584,0.02912732,0.028978264,0.028631928,0.0098114,0.012867051,0.011306345,21.03,88.77,0.413,78,4.38E-05,0,1.75E-05,0.000938177,4.38E-06,0.000293728,0,4.38E-06,1.32E-05,0.001955266,0,0,0,0.001183681,0,0.000236736,0.001999106,2.19E-05,0.000179744,0.00026304,4.38E-06,0,1.488288214
Ramechhap,0,0.048458889,0.277029894,0.087008873,0.000281279,0.000207258,0.001993624,8.39E-05,0.149625455,0.286233136,0.000162846,0.144967085,5.92E-05,0.003158217,0.000730338,202646,0.056,0.256,0.018,47.9,32.4,36.35,0.0592,0.444,0.2039,0.018312723,0.018579197,0.018885149,0.019334208,0,0.000138172,0.018564393,0.018574263,0.018737108,0.01922071,0.010190184,0.00353819,0.011389319,31.27,79.05,0.468,85,1.97E-05,2.47E-05,4.93E-06,0.000473733,0,0.000488537,7.40E-05,0,0.000340495,0.004362287,0,0,3.45E-05,0.000207258,0.000128303,0.000217127,0.00121394,8.39E-05,0.001115245,0.000148041,0.000217127,0.000296083,-1.07457248
Rasuwa,0,0.150692841,0.02630485,0.030669746,0.000692841,0,0.001639723,0,0.04743649,0.713441109,0,0.023371824,0,0.0047806,0.000969977,43300,0.072,0.316,0.024,58.68,28.57,42.24,0.087,0.45,0.1213,0.023256351,0.024618938,0.023995381,0.024387991,0,0.000161663,0.023048499,0.024618938,0.023995381,0.024387991,0.003879908,0.007736721,0.014133949,41.89,89.44,0.461,98,0,0,4.62E-05,0.002632794,0,0.001639723,0,0,2.31E-05,0.001385681,0,2.31E-05,0,6.93E-05,0,0.00039261,0.000438799,2.31E-05,4.62E-05,4.62E-05,0,0,0.13557652
Rautahat,0.000643637,0.026295939,0.019183891,0.005380634,0.02360635,0.124191449,0.415593209,0.086851739,0.013366399,0.029056882,0.197341865,0.003727855,0.002079444,0.004600115,0.048080592,686722,0.083,0.334,0.029,66.11,22.29,46.43,0.0727,0.397,0.0487,0.026496894,0.025998876,0.025200882,0.024322797,0.013548423,0.000790713,0.021775915,0.02615032,0.024880519,0.023868465,0.023009311,0.010673897,0.014668235,17.58,73.8,0.386,105,7.43E-05,1.89E-05,0.000141251,0.0015989,5.82E-06,0.000141251,1.46E-06,2.48E-05,3.79E-05,0.000559178,0,1.89E-05,1.46E-05,0.00040919,7.28E-06,0.000119408,0.000132514,2.48E-05,0.000215517,0.000119408,1.16E-05,1.75E-05,1.357200541
Rolpa,0,0.01173688,0.37031527,0.16664588,6.68E-05,0.000111356,0.000293979,0,0.438705424,0.000935387,0.000962112,0.002476549,0,0.006213642,0.001536707,224506,0.056,0.26,0.018,49.26,37.16,38.57,0.108,0.513,0.2303,0.026547175,0.025932492,0.025687509,0.02562515,0,0.000391972,0.025438073,0.025460344,0.025348988,0.025170819,0.006961952,0.009866106,0.010275895,20.41,76.2,0.395,85,0,0.000146989,7.57E-05,0.00238301,4.45E-06,0.000574595,3.12E-05,2.67E-05,0.000160352,0.001888591,2.67E-05,1.34E-05,0.000293979,0.000534507,4.45E-05,0.000293979,0.000797306,4.45E-05,0.000209349,3.56E-05,2.23E-05,5.79E-05,0.545527588
Rukum,0,0.03313084,0.503560007,0.211922308,9.59E-05,0.000139044,0.000805497,0,0.24363394,0.000781523,0.000604122,0.002824033,0,0.001980179,0.000522614,208567,0.058,0.263,0.019,49.19,38.85,39.02,0.0814,0.513,0.2641,0.025718354,0.02532999,0.025277249,0.024553261,0,0.000997281,0.023340222,0.02532999,0.024797787,0.024553261,0.014211261,0.007057684,0.01249958,20.32,79.05,0.431,91,0,5.27E-05,4.79E-05,0.002138402,0,0.000781523,0,2.40E-05,0,0.000896594,0,0.000239731,0,0.000613712,0,0.000278088,0.001073995,7.67E-05,0.000887005,0.000225347,0.000292472,0.000273293,0.572682006
Rupandehi,0.000653264,0.159338375,0.082774746,0.048173361,0.00881849,0.073141664,0.170424542,0.101337657,0.131747929,0.00860831,0.082331662,0.021356607,0.004435376,0.009753509,0.097104509,880196,0.041,0.173,0.014,35.61,20.1,26.15,0.073,0.377,0.025,0.028477748,0.02434685,0.024092361,0.024416153,0.021331613,0,0.023992384,0.02434685,0.024092361,0.024416153,0,0.021864448,0.015094365,48.74,91.81,0.498,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.218124511
Salyan,0,0.026076125,0.640519048,0.169800036,4.54E-05,0,0.000379469,0,0.152340334,0.001497253,0.00110541,0.005733283,0,0.001814852,0.000688819,242444,0.063,0.288,0.021,44.5,48.14,40.57,0.0823,0.541,0.4219,0.023568329,0.022990876,0.022990876,0.02294963,0,0.000107241,0.022599033,0.022990876,0.022990876,0.02294963,0.008311198,0.009779578,0.010175546,16.37,57.34,0.441,92,0,1.65E-05,1.24E-05,0.002099454,4.12E-06,0.000676445,0,4.12E-06,0.0003011,0.000820808,0,4.12E-06,4.12E-06,0.000284602,0,0.000243355,0.001814852,0.000107241,0.000552705,0.000111366,1.24E-05,0.000210358,-0.029086367
Sankhuwasabha,0,0.053413715,0.190768669,0.082410452,0.001442592,0.000163788,0.001329201,0.000258281,0.476912222,0.141040178,0.000258281,0.047479558,0.000522861,0.002941881,0.001058321,158742,0.041,0.21,0.012,36.84,39.91,33.64,0.0843,0.474,0.3241,0.021160121,0.021475098,0.021166421,0.020819947,0,0.000308677,0.020593164,0.02118532,0.020901841,0.020599463,0.001562283,0.017588288,0.002866286,53.39,80.27,0.488,90,1.26E-05,1.26E-05,1.26E-05,0.000510262,0,0.00148039,6.30E-06,1.26E-05,0.000302377,0.004031699,0,6.93E-05,1.26E-05,0.000371672,1.89E-05,0.000371672,0.000352774,0.000157488,0.000491363,0.000125991,0.000119691,0.000113392,-0.656738502
Saptari,0.000259666,0.013048974,0.015606522,0.010217681,0.022752016,0.22983056,0.347784396,0.037410603,0.011639584,0.009776563,0.089389067,0.004195319,0.004519118,0.021957377,0.181612554,639284,0.1,0.395,0.036,54.56,18.69,38.34,0.0539,0.334,0.0397,0.024267775,0.023319839,0.023154029,0.023032017,0.015012107,0.000628829,0.02153503,0.022905313,0.022623748,0.022608105,0.013956239,0.013203834,0.011179695,19.01,72.31,0.437,96,0,0,4.22E-05,0.00152358,3.13E-06,1.56E-06,3.13E-06,0,0,0.000705477,0,4.69E-06,4.69E-06,0.000156425,3.13E-05,5.01E-05,0.000201788,9.39E-06,0.000289386,9.39E-06,6.26E-06,1.56E-05,0.679116419
Sarlahi,3.38E-05,0.035774929,0.04252016,0.0140504,0.030556209,0.126584811,0.435826115,0.076148878,0.025349181,0.072073418,0.078929078,0.009551414,0.003955938,0.003614259,0.045031433,769729,0.036,0.177,0.011,62,24.36,43.86,0.0704,0.377,0.1101,0.027214773,0.026227413,0.02462555,0.023774601,0.012842182,0.001071806,0.022044122,0.026222216,0.024626849,0.023814875,0.01696701,0.012551171,0.019178178,17.47,81.25,0.402,103,3.90E-06,7.67E-05,0.000102634,0.001032831,1.82E-05,0.000226054,0,0,0.000149403,0.000691152,0,0.000115625,1.43E-05,0.000797683,0.000144207,0.000491082,0.000300106,0.000544347,0.000522262,0.000202669,0.000111728,0.000198771,1.350846652
Sindhuli,0,0.0779123,0.147944576,0.112497974,0.002123623,0.00684691,0.008717318,0.000229581,0.176797483,0.400966265,0.000604338,0.062803857,0,0.001242437,0.001313337,296192,0.099,0.383,0.036,48.92,35.91,37.95,0.0856,0.363,0.3552,0.022124163,0.021631239,0.021013397,0.02009845,0,0.000874433,0.018974179,0.021590725,0.020949249,0.020051183,0.010651874,0.005962349,0.008889504,21.01,61.77,0.44,92,5.06E-05,0.000121543,4.73E-05,0.00054019,8.10E-05,0.000151928,0,1.01E-05,0.001046618,0.001499028,0,2.70E-05,3.04E-05,0.000698871,5.74E-05,0.000165433,0.000226205,1.01E-05,4.39E-05,4.05E-05,2.36E-05,3.38E-06,-0.583610224
Sindhupalchok,0.000799172,0.103284248,0.220717309,0.07338133,0.00014941,6.25E-05,0.001761652,0.000145936,0.064378488,0.421656857,0.000132037,0.111109181,0,0.001587919,0.000833918,287798,0.054,0.254,0.017,50.49,32.93,38.03,0.0841,0.466,0.1926,0.018123823,0.020528287,0.020663799,0.020517863,0,0.000271023,0.01968742,0.020542186,0.020674223,0.020510914,0.004398919,0.007984767,0.006205742,33.85,80.93,0.455,93,1.39E-05,0,0,0.001462832,0,0.001129264,0,5.91E-05,0.000653236,0.002533027,0,2.08E-05,3.47E-06,0.000138986,6.25E-05,0.000427383,0.000997227,0.000472554,0.00035789,7.30E-05,2.08E-05,3.13E-05,-0.943098785
Siraha,3.14E-05,0.009420581,0.013266324,0.009630834,0.011204592,0.210340672,0.464627319,0.054874413,0.015696784,0.033497665,0.074867258,0.005341049,0.004125035,0.012193094,0.080882999,637328,0.08,0.346,0.027,60.04,24.99,42.62,0.0637,0.397,0.1027,0.026521665,0.02621727,0.025941117,0.025242889,0.018105277,0.000428351,0.024177504,0.02621727,0.025658688,0.02524132,0.010796638,0.017151294,0.009309178,18.47,72.03,0.408,95,4.08E-05,0,8.32E-05,0.000484837,4.71E-06,3.14E-06,0,1.57E-06,1.26E-05,0.00076099,0,1.57E-06,3.77E-05,0.000353036,0,0.000147491,0.00014906,5.33E-05,0.000262031,4.71E-05,2.67E-05,5.33E-05,1.346536624
Solukhumbu,0,0.046200631,0.158028446,0.077319003,0.000368321,0.000226659,0.006185898,0,0.54342406,0.138837996,0.000122774,0.024488601,0.000151106,0.002984342,0.001662165,105886,0.057,0.257,0.019,42.49,29.39,32.48,0.0874,0.476,0.1118,0.020550403,0.019719321,0.019596547,0.019653212,0,0.000377765,0.020200971,0.019539883,0.019492662,0.019577659,0.01109684,0.011937367,0.014062293,39.64,77,0.502,94,0.000245547,0,0,0.000132218,0,0.001095518,0,3.78E-05,0,0.00316378,0,0,0,0.000254991,0,0.000349432,0.000358877,0.000103885,0.000793306,0.00348488,2.83E-05,0.000207771,-0.498868338
Sunsari,0.000141456,0.079912297,0.099948002,0.036060863,0.008461179,0.078015736,0.14639411,0.016701005,0.147538858,0.036211488,0.115487232,0.038036011,0.009921583,0.011438309,0.175731872,763487,0.022,0.12,0.006,37.12,16.49,26.52,0.071,0.294,0.0358,0.024026604,0.022887096,0.022424743,0.022217798,0.016056593,0.000170271,0.021057333,0.022887096,0.022424743,0.022217798,0.00982073,0.013884978,0.009414699,51.33,77.51,0.496,95,0,1.31E-06,4.19E-05,0.000272434,3.93E-06,0.000204326,0,0,1.57E-05,0.001231193,0,2.62E-06,0,0.000264576,1.31E-05,7.86E-06,2.10E-05,0,2.75E-05,1.57E-05,0,3.93E-06,0.454507841
Surkhet,3.99E-05,0.115278047,0.380622798,0.258041527,0.000242301,0.000139679,0.001718909,3.14E-05,0.203629377,0.007460006,0.005202335,0.005436084,0.000136829,0.002317533,0.01970331,350804,0.075,0.305,0.026,33,47.58,36.36,0.0839,0.579,0.3726,0.025364591,0.024421044,0.024221503,0.023964949,0.015883513,0.000219496,0.022801906,0.024421044,0.024221503,0.023964949,0.007964561,0.010587108,0.01092918,36.53,77.48,0.476,93,5.70E-06,0,1.14E-05,0.004156167,0,0.000934995,0,2.57E-05,7.98E-05,0.001704656,5.70E-06,0,0,0.001080375,5.70E-06,7.70E-05,0.000305014,8.84E-05,0.000444693,0.000248002,5.70E-06,5.42E-05,0.722667586
Syangja,4.50E-05,0.308807254,0.145541384,0.158669609,0.000491098,8.30E-05,0.001407584,0,0.330014387,0.010600108,0.006868455,0.033322036,4.84E-05,0.002856669,0.001245037,289148,0.024,0.118,0.007,29.63,28.15,25.31,0.0685,0.391,0.172,0.020567322,0.023828628,0.023856295,0.023818252,0,0.000162547,0.02311619,0.023814794,0.025277712,0.023852837,0.001611631,0.014183048,0.011872813,68.4,78.51,0.527,77,1.38E-05,4.15E-05,3.11E-05,0.001307289,0,0.000940695,0,0.000114128,0.000349302,0.002770208,0,7.95E-05,1.38E-05,0.000857692,0,0.000338927,0.001891765,0.000518765,0.001030614,0.000307801,0.000107212,0.000131421,0.071623657
Tanahu,3.71E-05,0.118723862,0.1462968,0.161465937,0.000238178,0.000300042,0.003455124,0.00035572,0.42843842,0.046039445,0.012901809,0.076786024,0.000241271,0.003229319,0.001490931,323288,0.033,0.148,0.011,31.68,36.03,29.75,0.0727,0.473,0.2476,0.019549133,0.021157606,0.020981292,0.021012224,0,8.35E-05,0.019771844,0.021166885,0.020981292,0.021012224,0.009997278,0.004367623,0.011327361,56.63,82.44,0.506,80,1.24E-05,2.47E-05,1.55E-05,0.001082626,1.55E-05,0.000751652,0,3.09E-06,8.35E-05,0.001317711,0,4.95E-05,1.55E-05,0.000773304,7.11E-05,0.000300042,0.000460889,0.00017322,0.000637203,5.57E-05,4.02E-05,5.57E-05,-0.623303083
Taplejung,0,0.077796346,0.127693961,0.071166867,0,0.000156911,0.001357278,0.000125529,0.621327308,0.078769192,0,0.015918595,0,0.004244436,0.001443579,127461,0.055,0.27,0.017,34.28,23.98,26.42,0.1078,0.385,0.0946,0.026698363,0.026674826,0.025937346,0.025427386,0,0.00014122,0.026149175,0.026674826,0.025937346,0.025427386,0.013619852,0.00817505,0.016491319,53.82,71.31,0.494,90,0.000305976,0,7.85E-06,0.001443579,6.28E-05,0.001710327,0,0.00043935,0.000251057,0.003632484,0,7.06E-05,0,0.000219675,1.57E-05,0.001074839,0.001545571,0.000564879,0.000258903,0.000125529,3.92E-05,2.35E-05,0.960087688
Terhathum,0,0.133219134,0.206572354,0.092944269,0.000354411,0,0.001073078,0.000226429,0.463018203,0.0698288,0.000305187,0.028923871,0,0.0025301,0.001004164,101577,0.025,0.146,0.007,30.64,42.85,33.01,0.0799,0.634,0.2229,0.020447542,0.021609223,0.021697825,0.021540309,0,9.84E-05,0.020171889,0.021678136,0.021550154,0.021599378,0.009706922,0.007737972,0.012542209,58.13,90.79,0.527,87,9.84E-06,1.97E-05,9.84E-06,0.001427489,0.000177205,0.003583488,9.84E-06,4.92E-05,0.00018705,0.00292389,0,0,0,0.000295342,7.88E-05,0.00020674,0.000521772,0.000108292,0.000502082,9.84E-05,9.84E-06,7.88E-05,-0.36938327
Udayapur,0,0.059902624,0.228153383,0.106584533,0.001209327,0.013315193,0.020473527,0.000784173,0.328370054,0.11873449,0.006824509,0.034443773,0.000462945,0.002012396,0.078729073,317532,0.058,0.259,0.019,39.3,26.03,29.74,0.0815,0.3,0.2207,0.024636887,0.023843266,0.023380321,0.023008705,0.018388698,0.000758979,0.02223398,0.023843266,0.023380321,0.023008705,0.010569014,0.011809833,0.009252611,25.7,64.18,0.475,89,6.30E-06,6.93E-05,0.00013227,0.002462744,0,0.00093219,0,9.45E-06,6.61E-05,0.002667448,0,3.15E-06,6.30E-06,0.000686545,7.24E-05,0.000418855,0.000513334,0.000129121,0.000503886,8.50E-05,0,6.30E-06,0.698589063
Darchula,0.000750334,0.167084353,0.706424359,0.067792668,0,0,0.01287573,0,0.002281015,0.008996503,0.000232604,0.00038267,0,0.032767081,0.000412684,133274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.235896871
Darchula,0.000750334,0.167084353,0.706424359,0.067792668,0,0,0.01287573,0,0.002281015,0.008996503,0.000232604,0.00038267,0,0.032767081,0.000412684,133274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.235896871
Kavrepalanchok,3.93E-05,0.215339179,0.154012311,0.057781781,0.000282769,0.000212077,0.002526595,9.95E-05,0.054021998,0.376357881,0.000832598,0.132665859,0.000138766,0.004440523,0.001248897,381937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.235896871
Kavrepalanchok,3.93E-05,0.215339179,0.154012311,0.057781781,0.000282769,0.000212077,0.002526595,9.95E-05,0.054021998,0.376357881,0.000832598,0.132665859,0.000138766,0.004440523,0.001248897,381937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.235896871
